Model,Trait,Component,AvgVar,MeanDIC,MeanRuntimeSec,TotalVar,Percentage,Model.y,ETA,Category,Description,ComponentLabel
M14,GY,E,1170.4165666690244,8347.425409802485,72.39313209056854,1621.5995637320777,0.7217667005134948,M14,Eta14,Weather-augmented,E + W + PGK + PGKE + PGKW,Environment (E)
M14,GY,PGK,99.12053039677998,8347.425409802485,72.39313209056854,1621.5995637320777,0.06112515852474463,M14,Eta14,Weather-augmented,E + W + PGK + PGKE + PGKW,Phenomic Gaussian (PGK)
M14,GY,PGKE,46.96613022023626,8347.425409802485,72.39313209056854,1621.5995637320777,0.028962840932285825,M14,Eta14,Weather-augmented,E + W + PGK + PGKE + PGKW,PGK × E
M14,GY,PGKW,112.96808902391923,8347.425409802485,72.39313209056854,1621.5995637320777,0.06966460250144957,M14,Eta14,Weather-augmented,E + W + PGK + PGKE + PGKW,PGK × W
M14,GY,Residual,190.6208403444949,8347.425409802485,72.39313209056854,1621.5995637320777,0.11755111718566634,M14,Eta14,Weather-augmented,E + W + PGK + PGKE + PGKW,Residual
M14,GY,W,1.5074070776229442,8347.425409802485,72.39313209056854,1621.5995637320777,9.295803423587992e-4,M14,Eta14,Weather-augmented,E + W + PGK + PGKE + PGKW,Weather kernel (W)
M14,KW,E,301.7139215107029,7177.160318026206,119.1242514371872,448.195271416322,0.6731751554568395,M14,Eta14,Weather-augmented,E + W + PGK + PGKE + PGKW,Environment (E)
M14,KW,PGK,42.19018666113934,7177.160318026206,119.1242514371872,448.195271416322,0.09413349348335605,M14,Eta14,Weather-augmented,E + W + PGK + PGKE + PGKW,Phenomic Gaussian (PGK)
M14,KW,PGKE,14.56016344168092,7177.160318026206,119.1242514371872,448.195271416322,0.03248620494292587,M14,Eta14,Weather-augmented,E + W + PGK + PGKE + PGKW,PGK × E
M14,KW,PGKW,33.82010274498458,7177.160318026206,119.1242514371872,448.195271416322,0.07545841043371826,M14,Eta14,Weather-augmented,E + W + PGK + PGKE + PGKW,PGK × W
M14,KW,Residual,55.496343340004934,7177.160318026206,119.1242514371872,448.195271416322,0.12382179572005167,M14,Eta14,Weather-augmented,E + W + PGK + PGKE + PGKW,Residual
M14,KW,W,0.41455371780931055,7177.160318026206,119.1242514371872,448.195271416322,9.249399631087087e-4,M14,Eta14,Weather-augmented,E + W + PGK + PGKE + PGKW,Weather kernel (W)
M15,GY,E,961.4058208581786,6896.390101055366,111.72293636798858,2146.337921936815,0.44792845107569274,M15,Eta15,Weather-augmented,E + W + GGK + PGK + GGKE + PGKE + GGKW + PGKW,Environment (E)
